Freq.	V(vinter)/(V(vinn)-V(vinp))	V(vout)/(V(vinp)-V(vinn))	V(vout)/V(vinter)
4.46683592150962e+004	(2.27769865191999e+001dB,-1.07803321960355e+000°)	(5.03172965710170e+001dB,-1.30460679940120e+000°)	(2.75403100518171e+001dB,1.79773426420202e+002°)
5.01187233627271e+004	(2.27764236366008e+001dB,-1.20950841590060e+000°)	(5.03167160432611e+001dB,-1.46372780872206e+000°)	(2.75402924066603e+001dB,1.79745780607179e+002°)
5.62341325190348e+004	(2.27757151205966e+001dB,-1.35699931680137e+000°)	(5.03159853115251e+001dB,-1.64223767964817e+000°)	(2.75402701909286e+001dB,1.79714761637153e+002°)
6.30957344480192e+004	(2.27748233262539e+001dB,-1.52244913400440e+000°)	(5.03150655498740e+001dB,-1.84249115262915e+000°)	(2.75402422236202e+001dB,1.79679957981375e+002°)
7.07945784384136e+004	(2.27737008995070e+001dB,-1.70803365873671e+000°)	(5.03139079146538e+001dB,-2.06712573745492e+000°)	(2.75402070151468e+001dB,1.79640907921282e+002°)
7.94328234724279e+004	(2.27722882868525e+001dB,-1.91618778190015e+000°)	(5.03124509798010e+001dB,-2.31909434767971e+000°)	(2.75401626929485e+001dB,1.79597093434220e+002°)
8.91250938133743e+004	(2.27705106067008e+001dB,-2.14963448501995e+000°)	(5.03106174995692e+001dB,-2.60170114719961e+000°)	(2.75401068928684e+001dB,1.79547933337820e+002°)
9.99999999999997e+004	(2.27682737393165e+001dB,-2.41141630386251e+000°)	(5.03083103852547e+001dB,-2.91864070116059e+000°)	(2.75400366459382e+001dB,1.79492775602702e+002°)
1.12201845430196e+005	(2.27654594293395e+001dB,-2.70492912147686e+000°)	(5.03054076413553e+001dB,-3.27404038511432e+000°)	(2.75399482120159e+001dB,1.79430888736363e+002°)
1.25892541179416e+005	(2.27619191777452e+001dB,-3.03395797873570e+000°)	(5.03017560604070e+001dB,-3.67250585185186e+000°)	(2.75398368826618e+001dB,1.79361452126884e+002°)
1.41253754462275e+005	(2.27574666224896e+001dB,-3.40271429789979e+000°)	(5.02971633542775e+001dB,-4.11916907311767e+000°)	(2.75396967317879e+001dB,1.79283545224782e+002°)
1.58489319246111e+005	(2.27518680786749e+001dB,-3.81587352268608e+000°)	(5.02913883783274e+001dB,-4.61973809457272e+000°)	(2.75395202996526e+001dB,1.79196135428113e+002°)
1.77827941003892e+005	(2.27448308221250e+001dB,-4.27861160070820e+000°)	(5.02841290152598e+001dB,-5.18054707841948e+000°)	(2.75392981931348e+001dB,1.79098064522289e+002°)
1.99526231496887e+005	(2.27359886435892e+001dB,-4.79663794389658e+000°)	(5.02750072397846e+001dB,-5.80860443371954e+000°)	(2.75390185961954e+001dB,1.78988033510177e+002°)
2.23872113856833e+005	(2.27248841523776e+001dB,-5.37622138533232e+000°)	(5.02635507811334e+001dB,-6.51163572666797e+000°)	(2.75386666287558e+001dB,1.78864585658664e+002°)
2.51188643150957e+005	(2.27109472254709e+001dB,-6.02420417274432e+000°)	(5.02491707911240e+001dB,-7.29811660646811e+000°)	(2.75382235656531e+001dB,1.78726087566276e+002°)
2.81838293126444e+005	(2.26934690509045e+001dB,-6.74799706092855e+000°)	(5.02311349016373e+001dB,-8.17728901088499e+000°)	(2.75376658507328e+001dB,1.78570708050044e+002°)
3.16227766016837e+005	(2.26715712212941e+001dB,-7.55554596182018e+000°)	(5.02085350517093e+001dB,-9.15915131874500e+000°)	(2.75369638304151e+001dB,1.78396394643075e+002°)
3.54813389233574e+005	(2.26441695382966e+001dB,-8.45525747126118e+000°)	(5.01802497377016e+001dB,-1.02544099935937e+001°)	(2.75360801994050e+001dB,1.78200847477668e+002°)
3.98107170553496e+005	(2.26099325711973e+001dB,-9.45586672526752e+000°)	(5.01449006002677e+001dB,-1.14743763776655e+001°)	(2.75349680290704e+001dB,1.77981490347602e+002°)
