Freq.	V(vinter)/(V(vinn)-V(vinp))	V(vout)/(V(vinp)-V(vinn))	V(vout)/V(vinter)
1.77827941003890e+010	(-2.35892493094176e+001dB,-1.12685055209904e+002°)	(-5.88269698140214e+001dB,1.34801785573623e+002°)	(-3.52377205046038e+001dB,6.74868407835270e+001°)
1.99526231496886e+010	(-2.44651944431135e+001dB,-1.14771026390562e+002°)	(-6.05399297394404e+001dB,1.30270328031636e+002°)	(-3.60747352963269e+001dB,6.50413544221980e+001°)
2.23872113856831e+010	(-2.53081431155602e+001dB,-1.17063984424126e+002°)	(-6.21860321546129e+001dB,1.25346516993868e+002°)	(-3.68778890390527e+001dB,6.24105014179934e+001°)
2.51188643150955e+010	(-2.61137893148296e+001dB,-1.19558781893446e+002°)	(-6.37559186178866e+001dB,1.20044651203642e+002°)	(-3.76421293030570e+001dB,5.96034330970886e+001°)
2.81838293126442e+010	(-2.68775556711249e+001dB,-1.22243665873739e+002°)	(-6.52400002330028e+001dB,1.14392766699634e+002°)	(-3.83624445618779e+001dB,5.66364325733730e+001°)
3.16227766016834e+010	(-2.75948669605387e+001dB,-1.25099553098690e+002°)	(-6.66290362996873e+001dB,1.08433781389034e+002°)	(-3.90341693391485e+001dB,5.35333344877244e+001°)
3.54813389233571e+010	(-2.82614826259356e+001dB,-1.28099794660442e+002°)	(-6.79148108618141e+001dB,1.02225457242827e+002°)	(-3.96533282358786e+001dB,5.03252519032685e+001°)
3.98107170553492e+010	(-2.88738580596873e+001dB,-1.31210646370042e+002°)	(-6.90908324152309e+001dB,9.58388272576938e+001°)	(-4.02169743555436e+001dB,4.70494736277357e+001°)
4.46683592150957e+010	(-2.94294875207390e+001dB,-1.34392563687563e+002°)	(-7.01529544159739e+001dB,8.93549809682613e+001°)	(-4.07234668952349e+001dB,4.37475446558243e+001°)
5.01187233627266e+010	(-2.99271730906602e+001dB,-1.37602278252353e+002°)	(-7.10998086008544e+001dB,8.28604491620420e+001°)	(-4.11726355101942e+001dB,4.04627274143950e+001°)
5.62341325190342e+010	(-3.03671700464322e+001dB,-1.40795426367916e+002°)	(-7.19329677946712e+001dB,7.64417747400966e+001°)	(-4.15657977482391e+001dB,3.72372011080121e+001°)
6.30957344480185e+010	(-3.07511804960659e+001dB,-1.43929352043012e+002°)	(-7.26568063617654e+001dB,7.01800762876881e+001°)	(-4.19056258656995e+001dB,3.41094283307003e+001°)
7.07945784384129e+010	(-3.10821982553660e+001dB,-1.46965656852526e+002°)	(-7.32780888924879e+001dB,6.41464151074867e+001°)	(-4.21958906371219e+001dB,3.11120719600125e+001°)
7.94328234724271e+010	(-3.13642381243198e+001dB,-1.49872136907223e+002°)	(-7.38053697878331e+001dB,5.83985638549605e+001°)	(-4.24411316635133e+001dB,2.82707007621832e+001°)
8.91250938133734e+010	(-3.16020018121717e+001dB,-1.52623904660512e+002°)	(-7.42483119425703e+001dB,5.29794323066341e+001°)	(-4.26463101303986e+001dB,2.56033369671456e+001°)
1.00000000000000e+011	(-3.18005360355000e+001dB,-1.55203678199786e+002°)	(-7.46170278423326e+001dB,4.79170592661563e+001°)	(-4.28164918068326e+001dB,2.31207374659419e+001°)
